Date,Region,Terrain,Infrastructure_Type,Project_Category,Voltage_Level_kV,Weather_Condition,Route_Length_km,ACSR_Conductor_m,Towers_Steel_Count,Insulators_Count,Power_Transformers_Count,Circuit_Breakers_Count,Concrete_m3
2021-01-01,West,Rural,Transmission_Line,System_Upgrade,400,Clear,71.79990447706142,489630.0,194.0,9311.0,0.0,0.0,32618.15
2021-01-01,Central,Mountainous,Substation,Maintenance,66,Snow,0.15006964553957322,305.0,18.0,360.0,0.0,1.0,45.0
2021-01-01,East,Coastal,Transmission_Line,Maintenance,33,Heatwave,47.739493480410225,7960.0,1.0,162.0,0.0,0.0,92.91
2021-01-01,Central,Rural,Substation,Emergency_Repair,33,Rainy,1.6755808807348735,3020.0,4.0,406.0,0.0,5.0,225.64
2021-01-01,Central,Rural,Transmission_Line,Maintenance,33,Clear,75.08002154670841,12332.0,2.0,265.0,0.0,0.0,173.69
2021-01-02,South,Mountainous,Substation,Maintenance,66,Rainy,0.882514605431413,287.0,13.0,874.0,0.0,0.0,39.76
2021-01-02,East,Urban,Substation,New_Installation,400,Heatwave,1.4968061324588353,942.0,18.0,175.0,1.0,7.0,953.5
2021-01-02,East,Coastal,Substation,Maintenance,220,Clear,1.1473003473595524,297.0,7.0,480.0,0.0,1.0,41.37
2021-01-02,East,Coastal,Substation,Maintenance,132,Storm,1.8339950963297442,411.0,9.0,730.0,0.0,1.0,87.9
2021-01-03,Central,Urban,Transmission_Line,System_Upgrade,400,Storm,60.777081568051656,457664.0,187.0,7945.0,0.0,0.0,26713.03
2021-01-03,West,Urban,Substation,Maintenance,33,Storm,0.8613949397092994,447.0,17.0,295.0,0.0,1.0,80.86
2021-01-03,East,Urban,Substation,System_Upgrade,66,Heatwave,1.7395491866796453,3215.0,17.0,998.0,3.0,4.0,309.35
2021-01-03,Central,Mountainous,Transmission_Line,Maintenance,66,Storm,9.737540019130886,1865.0,0.0,45.0,0.0,0.0,48.08
2021-01-03,South,Mountainous,Substation,Maintenance,132,Clear,1.8109702229112057,250.0,14.0,521.0,0.0,1.0,62.29
2021-01-04,West,Coastal,Substation,Maintenance,220,Storm,1.4230589475457922,163.0,20.0,1048.0,0.0,0.0,86.37
2021-01-04,South,Mountainous,Transmission_Line,System_Upgrade,400,Clear,94.35755674028741,648051.0,299.0,10010.0,0.0,0.0,41490.19
